finish,rider,number,lap,time,behind,place,year,round,moto,track,date,race_id,class,type,points
28,"ALEX GATTPenticton, BR",181,8,144.123,167.174,27,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
28,"ALEX GATTPenticton, BR",181,9,144.369,186.447,27,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
28,"ALEX GATTPenticton, BR",181,10,148.466,209.897,27,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
28,"ALEX GATTPenticton, BR",181,11,149.793,232.466,28,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
28,"ALEX GATTPenticton, BR",181,12,151.478,256.531,28,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
28,"ALEX GATTPenticton, BR",181,13,153.814,283.029,28,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,1,82.292,22.292,18,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,2,132.672,32.553,15,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,3,136.058,45.613,16,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,4,134.19,56.959,16,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,5,132.087,64.923,16,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,6,133.33,74.371,17,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,7,218.624,167.94,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,8,160.442,201.705,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,9,139.045,215.654,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,10,142.887,233.525,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,11,146.418,252.719,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,12,146.645,271.951,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
29,"DEVYN SMITHMission, BR",34,13,148.96,293.595,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,1,96.796,36.796,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,2,143.665,58.05,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,3,146.809,81.861,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,4,145.929,104.946,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,5,148.476,129.299,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,6,149.465,154.882,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,7,149.19,179.017,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,8,153.747,206.087,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,9,149.692,230.683,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,10,148.412,254.079,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,11,148.621,275.476,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,12,150.161,298.224,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
30,"NATHAN DULANEYWaynesboro, PA",485,13,149.03,319.938,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,1,79.753,19.753,14,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,2,142.402,39.744,21,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,3,142.222,58.968,24,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,4,145.093,81.217,27,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,5,146.231,103.325,28,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,6,156.453,135.896,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,7,151.751,162.592,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,8,152.109,188.024,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,9,149.775,212.703,29,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,10,152.22,239.907,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,11,152.041,264.724,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,12,155.075,292.386,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
31,"ADAM GAUTHIERChapleau, On",138,13,162.498,327.568,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,1,92.473,32.473,30,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,2,146.4,56.462,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,3,144.333,77.797,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,4,144.802,99.755,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,5,146.388,122.02,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,6,148.19,146.328,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,7,147.127,168.4,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,8,162.73,204.453,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,9,150.78,230.137,31,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,10,148.987,254.108,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,11,151.769,278.653,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,12,156.936,308.176,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
32,"LOGAN BURNSSaultSteMarie, ON",165,13,154.039,334.899,32,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,1,117.642,57.642,38,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,2,148.051,83.282,38,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,3,144.334,104.618,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,4,147.195,128.969,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,5,146.64,151.486,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,6,146.105,173.709,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,7,152.183,200.837,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,8,149.555,223.715,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,9,150.306,248.925,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,10,151.449,275.358,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,11,154.721,302.855,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
