"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"35",3,"JOSIAH NATZKEMountMaunganui, BA","23",1,64.877,4.877,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"36",3,"JOSIAH NATZKEMountMaunganui, BA","23",2,133.269,6.842,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"37",3,"JOSIAH NATZKEMountMaunganui, BA","23",3,131.296,8.591,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"38",3,"JOSIAH NATZKEMountMaunganui, BA","23",4,130.6,9.642,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"39",3,"JOSIAH NATZKEMountMaunganui, BA","23",5,131.3,10.872,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"40",3,"JOSIAH NATZKEMountMaunganui, BA","23",6,129.819,11.087,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"41",3,"JOSIAH NATZKEMountMaunganui, BA","23",7,131.172,13.052,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"42",3,"JOSIAH NATZKEMountMaunganui, BA","23",8,131.498,14.659,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"43",3,"JOSIAH NATZKEMountMaunganui, BA","23",9,132.029,16.353,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"44",3,"JOSIAH NATZKEMountMaunganui, BA","23",10,132.527,18.241,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"45",3,"JOSIAH NATZKEMountMaunganui, BA","23",11,130.677,16.962,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"46",3,"JOSIAH NATZKEMountMaunganui, BA","23",12,132.245,18.736,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"47",3,"JOSIAH NATZKEMountMaunganui, BA","23",13,130.608,16.725,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"48",3,"JOSIAH NATZKEMountMaunganui, BA","23",14,131.144,14.593,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"49",3,"JOSIAH NATZKEMountMaunganui, BA","23",15,130.963,11.114,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"50",3,"JOSIAH NATZKEMountMaunganui, BA","23",16,132.113,11.009,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"51",3,"JOSIAH NATZKEMountMaunganui, BA","23",17,130.439,7.318,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"52",4,"MITCHELL HARRISONLeesburg, Fl","8",1,61.882,1.882,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"53",4,"MITCHELL HARRISONLeesburg, Fl","8",2,143.166,13.744,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"54",4,"MITCHELL HARRISONLeesburg, Fl","8",3,133.378,17.575,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"55",4,"MITCHELL HARRISONLeesburg, Fl","8",4,132.672,20.698,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"56",4,"MITCHELL HARRISONLeesburg, Fl","8",5,132.587,23.215,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"57",4,"MITCHELL HARRISONLeesburg, Fl","8",6,131.496,25.107,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"58",4,"MITCHELL HARRISONLeesburg, Fl","8",7,130.915,26.815,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"59",4,"MITCHELL HARRISONLeesburg, Fl","8",8,132.527,29.451,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"60",4,"MITCHELL HARRISONLeesburg, Fl","8",9,132.315,31.431,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"61",4,"MITCHELL HARRISONLeesburg, Fl","8",10,133.314,34.106,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"62",4,"MITCHELL HARRISONLeesburg, Fl","8",11,134.044,36.194,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"63",4,"MITCHELL HARRISONLeesburg, Fl","8",12,134.041,39.764,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"64",4,"MITCHELL HARRISONLeesburg, Fl","8",13,131.982,39.127,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"65",4,"MITCHELL HARRISONLeesburg, Fl","8",14,131.363,37.214,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"66",4,"MITCHELL HARRISONLeesburg, Fl","8",15,132.147,34.919,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"67",4,"MITCHELL HARRISONLeesburg, Fl","8",16,132.602,35.303,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"68",4,"MITCHELL HARRISONLeesburg, Fl","8",17,134.863,36.036,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"69",5,"PRESTON KILROYAfton, WY","808",1,67.578,7.578,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"70",5,"PRESTON KILROYAfton, WY","808",2,134.413,10.687,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"71",5,"PRESTON KILROYAfton, WY","808",3,133.075,14.215,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"72",5,"PRESTON KILROYAfton, WY","808",4,132.056,16.722,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"73",5,"PRESTON KILROYAfton, WY","808",5,133.728,20.38,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"74",5,"PRESTON KILROYAfton, WY","808",6,131.772,22.548,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"75",5,"PRESTON KILROYAfton, WY","808",7,132.123,25.464,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
